species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Poultry,Local scavenging,Senior,Newcastle Disease,diarrhoea|neurological_signs|drop_in_egg_production|respiratory_distress,diarrhoea; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Dermatophilosis,wet_skin|matted_hair,wet skin; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Mannheimiosis (Pasteurellosis),anorexia|nasal_discharge|coughing,reduced appetite/anorexia; nasal discharge,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Theileriosis,drooling|fever,drooling/ptyalism; fever,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Mastitis,reduced_milk|abnormal_milk|pain_on_palpation|swollen_udder,reduced milk yield; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Juvenile,Anaplasmosis,weakness|pale_mucous_membranes|progressive_anemia|fever|weight_loss,weakness; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Neonate,Babesiosis,fever|anemia|anorexia,fever; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Adult,Anaplasmosis,weight_loss|progressive_anemia|fever|weakness|pale_mucous_membranes|ticks_observed,weight loss; progressive anemia,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Senior,Anaplasmosis,progressive_anemia|weakness|fever|pale_mucous_membranes|ticks_observed,progressive anemia; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Brucellosis,orchitis|retained_placenta|reduced_fertility,orchitis; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer,Senior,Parasitic Gastroenteritis,diarrhoea|poor_condition|bottle_jaw|anorexia|weight_loss,diarrhoea; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Adult,Blackleg,severe_lameness|sudden_death|swollen_muscle,severe lameness; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Neonate,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Babesiosis,fever|anorexia,fever; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Anaplasmosis,fever|weight_loss|weakness|pale_mucous_membranes|progressive_anemia|ticks_observed,fever; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Layers,Adult,Newcastle Disease,diarrhoea|neurological_signs|respiratory_distress,diarrhoea; neurological signs / paralysis,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Neonate,Foot-and-Mouth Disease,lameness|blisters_mouth_feet|fever|excess_salivation|reduced_appetite,lameness; vesicles/blisters on mouth/feet,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Neonate,Anaplasmosis,fever|weight_loss|progressive_anemia|pale_mucous_membranes|sudden_death,fever; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Senior,Anthrax,neck_edema|sudden_death|bloody_diarrhoea|tongue_ulcers,neck edema; sudden death,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Juvenile,Orf (Contagious Ecthyma),lamb_kid_mortality|scabby_lesions_mouth,lamb kid mortality; scabby mouth lesions,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Brucellosis,reduced_fertility|retained_placenta,reduced fertility; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Juvenile,Blackleg,severe_lameness|sudden_death,severe lameness; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Parasitic Gastroenteritis,anorexia|bottle_jaw,reduced appetite/anorexia; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Brahman,Senior,Lumpy Skin Disease,reduced_milk|swollen_lymph_nodes|skin_nodules,reduced milk yield; swollen lymph nodes,Supportive care; symptomatic treatment; vaccination and vector control.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Juvenile,Anaplasmosis,weakness|pale_mucous_membranes|fever|weight_loss|ticks_observed,weakness; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Mastitis,pain_on_palpation|swollen_udder,pain on palpation; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Adult,Tick-bite toxicosis,sudden_weakness|lameness,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Parasitic Gastroenteritis,diarrhoea|anorexia|bottle_jaw|weight_loss,diarrhoea; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Mastitis,abnormal_milk|swollen_udder|reduced_milk|pain_on_palpation,abnormal milk; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Dermatophilosis,crusting_skin_lesions|wet_skin|matted_hair|lameness,crusting skin lesions; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Mastitis,abnormal_milk|swollen_udder|reduced_milk,abnormal milk; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Angus,Juvenile,Brucellosis,orchitis|reduced_fertility|abortions|retained_placenta,orchitis; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Senior,Newcastle Disease,respiratory_distress|diarrhoea,respiratory distress; diarrhoea,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Juvenile,Anaplasmosis,pale_mucous_membranes|weight_loss|progressive_anemia|ticks_observed,pale mucous membranes; weight loss,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Rabies (spillover),behavioural_changes|hypersalivation|neurological_signs|paralysis,behavioural changes; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Broilers,Neonate,Newcastle Disease,respiratory_distress|drop_in_egg_production|diarrhoea|neurological_signs,respiratory distress; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Blackleg,swollen_muscle|severe_lameness|sudden_death,swollen muscle; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Hereford,Juvenile,Blackleg,sudden_death|severe_lameness|swollen_muscle,sudden death; severe lameness,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Dermatophilosis,wet_skin|exudative_dermatitis|crusting_skin_lesions|matted_hair|lameness|ticks_observed,wet skin; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Brucellosis,abortions|reduced_fertility|retained_placenta|orchitis,abortions; reduced fertility,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
